feature,importance_mean,importance_std
systolic,0.1079991507178063,0.011698848265516908
age,0.07877843622745181,0.007874096129314242
exercise_level,0.0759618998846404,0.008270894972472497
cholesterol,0.06804992722544753,0.009765104960102914
risk_score,0.005521084825377065,0.0019393945280851827
age_group,0.002980538039286873,0.0014102367586311644
height,0.0,0.0
glucose,0.0,0.0
diastolic,0.0,0.0
weight,0.0,0.0
smoker,0.0,0.0
treatment_type,0.0,0.0
comorbidity_score,0.0,0.0
bmi,0.0,0.0
smoker_comorb,0.0,0.0
